"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Amount spent (USD)","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (USD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (USD)","Attribution setting",Results,"Result indicator","Cost per results",Ends
2025-06-05,2025-06-09,,0,159.44,0,0,6066,26.284207,5535,1.095935,5.802835,,0.452955,"Multiple attribution settings",,,,
2025-06-05,2025-06-09,"group members/ lead form/ testing",inactive,0,"Using ad set budget",0,0,0,0,0,0,,0,-,,,,Patuloy
2025-06-05,2025-06-09,"New Leads Campaign with recommended settings",inactive,0,"Using ad set budget",0,0,0,0,0,0,,0,-,,,,Patuloy
2025-06-05,2025-06-09,"masterclass signups",inactive,0,"Using ad set budget",0,0,0,0,0,0,,0,-,,,,Patuloy
2025-06-05,2025-06-09,"Website visitors Ad: Feeling like you've checked all the boxes – great...",active,71.62,50,Daily,4943,14.489177,4596,1.0755,5.927574,256,0.244437,"7-day click or 1-day view",224,actions:landing_page_view,0.31973214,2025-06-11
2025-06-05,2025-06-09,"Tailored leads campaign 06/07/2025 Campaign",inactive,63.66,"Using ad set budget",0,813,78.302583,615,1.321951,5.535055,34,1.414667,"7-day click or 1-day view",2,actions:lead,31.83,2025-06-11
2025-06-05,2025-06-09,"Tailored leads campaign 06/09/2025 Campaign  Campaign",active,24.16,"Using ad set budget",0,310,77.935484,289,1.072664,4.516129,7,1.725714,"7-day click, 1-day view, or 1-day engaged-view",2,actions:lead,12.08,2025-06-11
